category	go	evidence	ontology	symbol
oxidative_stress	GO:0006979	IGI	BP	ABL1
oxidative_stress	GO:0006979	ISS	BP	AKT1
oxidative_stress	GO:0006979	IEA	BP	ALAD
oxidative_stress	GO:0006979	IEA	BP	APP
oxidative_stress	GO:0006979	IBA	BP	ATOX1
oxidative_stress	GO:0006979	IEA	BP	BTG1
oxidative_stress	GO:0006979	IEA	BP	CA3
oxidative_stress	GO:0006979	IMP	BP	CHRNA4
oxidative_stress	GO:0006979	IDA	BP	ERCC8
oxidative_stress	GO:0006979	IMP	BP	ERCC8
oxidative_stress	GO:0006979	IEA	BP	ABCC2
oxidative_stress	GO:0006979	IEP	BP	DHCR24
oxidative_stress	GO:0006979	TAS	BP	DUSP1
oxidative_stress	GO:0006979	IEA	BP	TOR1A
oxidative_stress	GO:0006979	IMP	BP	ERCC1
oxidative_stress	GO:0006979	IMP	BP	ERCC2
oxidative_stress	GO:0006979	IMP	BP	ERCC3
oxidative_stress	GO:0006979	IDA	BP	ERCC6
oxidative_stress	GO:0006979	IGI	BP	ERCC6
oxidative_stress	GO:0006979	ISS	BP	ETFDH
oxidative_stress	GO:0006979	IEA	BP	FGF8
oxidative_stress	GO:0006979	IDA	BP	GCLC
oxidative_stress	GO:0006979	IDA	BP	GCLM
oxidative_stress	GO:0006979	ISS	BP	GPX4
oxidative_stress	GO:0006979	TAS	BP	GSS
oxidative_stress	GO:0006979	IBA	BP	HMOX1
oxidative_stress	GO:0006979	IMP	BP	HMOX1
oxidative_stress	GO:0006979	IBA	BP	HMOX2
oxidative_stress	GO:0006979	IEA	BP	IDH1
oxidative_stress	GO:0006979	NAS	BP	KRT1
oxidative_stress	GO:0006979	NAS	BP	LPO
oxidative_stress	GO:0006979	NAS	BP	MBL2
oxidative_stress	GO:0006979	IDA	BP	MICB
oxidative_stress	GO:0006979	IEA	BP	MMP14
oxidative_stress	GO:0006979	TAS	BP	MPO
oxidative_stress	GO:0006979	TAS	BP	MSRA
oxidative_stress	GO:0006979	IEA	BP	COX1
oxidative_stress	GO:0006979	IEA	BP	MTF1
oxidative_stress	GO:0006979	TAS	BP	NUDT1
oxidative_stress	GO:0006979	IEA	BP	ND3
oxidative_stress	GO:0006979	IDA	BP	NDUFA6
oxidative_stress	GO:0006979	IDA	BP	NDUFB4
oxidative_stress	GO:0006979	IDA	BP	NDUFS2
oxidative_stress	GO:0006979	IDA	BP	NDUFS8
oxidative_stress	GO:0006979	IDA	BP	OGG1
oxidative_stress	GO:0006979	ISS	BP	PRKN
oxidative_stress	GO:0006979	IEA	BP	PON2
oxidative_stress	GO:0006979	ISS	BP	PRNP
oxidative_stress	GO:0006979	IEA	BP	PSEN1
oxidative_stress	GO:0006979	IEA	BP	PSMB5
oxidative_stress	GO:0006979	IEA	BP	PTGS1
oxidative_stress	GO:0006979	IEA	BP	PTGS2
oxidative_stress	GO:0006979	IDA	BP	RPS3
oxidative_stress	GO:0006979	TAS	BP	SELENOP
oxidative_stress	GO:0006979	IEA	BP	TAT
oxidative_stress	GO:0006979	IMP	BP	PRDX2
oxidative_stress	GO:0006979	NAS	BP	PRDX2
oxidative_stress	GO:0006979	IEA	BP	TPO
oxidative_stress	GO:0006979	IEA	BP	UCN
oxidative_stress	GO:0006979	IDA	BP	WRN
oxidative_stress	GO:0006979	IEA	BP	XPA
oxidative_stress	GO:0006979	IEA	BP	PXDN
oxidative_stress	GO:0006979	IEA	BP	EPX
oxidative_stress	GO:0006979	IEA	BP	ATRN
